Unnamed: 0,Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary,sentiment_label,sentiment_score
1255221,2020-06-10 13:02:47+00:00,"Tesla's Stock Closes At All-Time High As Musk Pushes Semi, Employees Reportedly Test Positive For COVID-19",TSLA,https://www.benzinga.com/news/20/06/16225150/teslas-stock-closes-at-all-time-high-as-musk-pushes-semi-employees-reportedly-test-positive-for-covi,Drew Levine,,,,,,,positive,0.6631596684455872
1255222,2020-06-10 11:08:09+00:00,'Tesla factory workplace safety is 5% better than industry average for manufacturers & improving fast' -Tweet From Tesla's Elon Musk,TSLA,https://www.benzinga.com/news/20/06/16225621/tesla-factory-workplace-safety-is-5-better-than-industry-average-for-manufacturers-improving-fast-tw,Benzinga Newsdesk,,,,,,,positive,0.9467865228652954
1255223,2020-06-10 08:41:58+00:00,'Tesla hacker unlocks Performance upgrade and acceleration boost at a discount' -Elektrek Report,TSLA,https://www.benzinga.com/news/20/06/16224205/tesla-hacker-unlocks-performance-upgrade-and-acceleration-boost-at-a-discount-elektrek-report,Benzinga Newsdesk,,,,,,,positive,0.8851728439331055
1255224,2020-06-10 07:33:18+00:00,GM On Track To Spend $20B On EV And AV Development By 2025,TSLA,https://www.benzinga.com/news/20/06/16223414/gm-on-track-to-spend-20b-on-ev-and-av-development-by-2025,Benzinga Newsdesk,,,,,,,positive,0.5947641134262085
1255225,2020-06-10 06:15:07+00:00,"Tesla's Journey To $1,000 In 2020",TSLA,https://www.benzinga.com/news/20/06/16222035/teslas-journey-to-1-000-in-2020,Wayne Duggan,,,,,,,neutral,0.8965338468551636
1255226,2020-06-10 05:58:54+00:00,"Tesla Shares Mark Session And New All-Time High At $1,000",TSLA,https://www.benzinga.com/hot/20/06/16221958/tesla-shares-mark-session-and-new-all-time-high-at-1-000,Benzinga Newsdesk,,,,,,,positive,0.8704761266708374
1255227,2020-06-10 05:00:24+00:00,"Wedbush Says Tesla Has 'Game Changing' Developments, Lifts Target To $1,000",TSLA,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16220932/wedbush-says-tesla-has-game-changing-developments-lifts-target-to-1-000,Jayson Derrick,,,,,,,positive,0.9104720950126648
1255228,2020-06-10 04:43:13+00:00,"Wedbush Maintains Neutral on Tesla, Raises Price Target to $1000",TSLA,https://www.benzinga.com/news/20/06/16220834/wedbush-maintains-neutral-on-tesla-raises-price-target-to-1000,Benzinga Newsdesk,,,,,,,positive,0.5656331777572632
1255229,2020-06-10 04:14:33+00:00,Musk Says It's Time To Ramp Production Of Tesla Semi: Report,TSLA,https://www.benzinga.com/news/20/06/16220141/musk-says-its-time-to-start-production-of-tesla-semi-report,Tanzeel Akhtar,,,,,,,positive,0.7875991463661194
1255230,2020-06-10 03:55:49+00:00,Tesla shares are trading higher after Wedbush raised its price target on the company's stock from $800 to $1000.,TSLA,https://www.benzinga.com/wiim/20/06/16220126/tesla-shares-are-trading-higher-after-wedbush-raised-its-price-target-on-the-companys-stock-from-800,Benzinga Newsdesk,,,,,,,positive,0.9468393921852112
