Unnamed: 0,Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary,sentiment_label,sentiment_score
76177,2020-06-10 09:18:50+00:00,"How Cannabis Company Cannaphyll Is Marketing On Mass-Consumer Platforms, Google And Amazon",AMZN,https://www.benzinga.com/markets/cannabis/20/06/16224494/how-cannabis-company-cannaphyll-is-marketing-on-mass-consumer-platforms-google-and-amazon,Jaycee Tenn,,,,,,,neutral,0.9449182152748108
76178,2020-06-10 07:33:26+00:00,Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,AMZN,https://www.benzinga.com/government/20/06/16223418/tech-stocks-and-faangs-strong-again-to-start-day-as-market-awaits-fed,JJ Kinahan,,,,,,,positive,0.8658882975578308
76179,2020-06-10 03:53:47+00:00,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW",AMZN,https://www.benzinga.com/short-sellers/20/06/16220099/benzinga-pros-top-5-stocks-to-watch-for-wed-jun-10-2020-aapl-bac-nio-sono-glw,Benzinga Newsdesk,,,,,,,neutral,0.933909833431244
76180,2020-06-10 03:20:03+00:00,"Hearing Vertical Group Out Positive On Amazon, Saying Co.'s Ad Spend Revenues Are Increasing As Shipping Bottleneck Issues Begin To Abate",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16219876/hearing-vertical-group-out-positive-on-amazon-saying-co-s-ad-spend-revenues-are-inc,Benzinga Newsdesk,,,,,,,positive,0.9539865851402284
76181,2020-06-09 20:52:01+00:00,Big Tech Reaches New Record Heights At The Stock Market,AMZN,https://www.benzinga.com/news/20/06/16218615/big-tech-reaches-new-record-heights-at-the-stock-market,Neer Varshney,,,,,,,positive,0.8393880128860474
76182,2020-06-09 20:28:00+00:00,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",AMZN,https://www.benzinga.com/news/20/06/16218441/twitter-square-will-mark-juneteenth-as-holiday-to-honor-african-american-culture,Shivdeep Dhaliwal,,,,,,,neutral,0.8918521404266357
76183,2020-06-09 10:52:04+00:00,'Inside Amazon's plan to test warehouse workers for Covid-19 every two weeks' -Earlier CNBC Report,AMZN,https://www.benzinga.com/news/20/06/16215412/inside-amazons-plan-to-test-warehouse-workers-for-covid-19-every-two-weeks-earlier-cnbc-report,Benzinga Newsdesk,,,,,,,neutral,0.9121795296669006
76184,2020-06-09 08:35:22+00:00,"BofA Raises Amazon Target On Sales Upside, Accelerating Unit Growth",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16212756/bofa-raises-amazon-target-on-sales-upside-accelerating-unit-growth,Priya Nigam,,,,,,,positive,0.9482896327972412
76185,2020-06-09 08:13:54+00:00,Amazon shares are trading higher despite market weakness. Not currently seeing company-specific news.,AMZN,https://www.benzinga.com/wiim/20/06/16213978/amazon-shares-are-trading-higher-despite-market-weakness-not-currently-seeing-company-specific-news,Benzinga Newsdesk,,,,,,,neutral,0.7694960236549377
76186,2020-06-09 07:36:51+00:00,"IRS Alerts Against Criminals Profiteering From Fake Coronavirus Treatments, Charities, Phishing, Other Financial Fraud",AMZN,https://www.benzinga.com/government/20/06/16209057/irs-alerts-against-criminals-profiteering-from-fake-coronavirus-treatments-charities-phishing-other,Neer Varshney,,,,,,,neutral,0.6772559285163879
76187,2020-06-02 00:00:00+00:00,4 Blue Chips That Lived Up To Their Title During the Pandemic,AMZN,https://www.benzinga.com/markets/20/06/16161759/4-blue-chips-that-lived-up-to-their-title-during-the-pandemic,IAM Newswire,,,,,,,positive,0.5995180010795593
76188,2020-06-02 00:00:00+00:00,"How Cameo, Facebook And Peloton Are Embracing Coronavirus Disruption",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16161097/how-cameo-facebook-and-peloton-are-embracing-coronavirus-disruption,Wayne Duggan,,,,,,,neutral,0.9131044149398804
76189,2020-06-02 00:00:00+00:00,Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case,AMZN,https://www.benzinga.com/news/20/06/16156648/tesla-ceo-musk-says-other-three-officers-should-be-charged-in-floyds-murder-case,Neer Varshney,,,,,,,negative,0.5189882516860962
